"Druid","Purl","Title","Catkey","Barcode"
"bd153bm2674","https://purl.stanford.edu/bd153bm2674","Tunisia 1:100,000","2849295","36105118307680"
"bp254zm0246","https://purl.stanford.edu/bp254zm0246","Tunisia 1:100,000","2849295","36105028403108"
"br249th4173","https://purl.stanford.edu/br249th4173","Tunisia 1:100,000","2849295","36105118307417"
"bs820sg9596","https://purl.stanford.edu/bs820sg9596","Tunisia 1:100,000","2849295","36105028403785"
"bz964xf2415","https://purl.stanford.edu/bz964xf2415","Tunisia 1:100,000","2849295","36105118307953"
"cc956dv3986","https://purl.stanford.edu/cc956dv3986","Tunisia 1:100,000","2849295","36105028402951"
"cd590cp9918","https://purl.stanford.edu/cd590cp9918","Tunisia 1:100,000","2849295","36105028403645"
"cf888jx4954","https://purl.stanford.edu/cf888jx4954","Tunisia 1:100,000","2849295","36105118307573"
"cg257vb7817","https://purl.stanford.edu/cg257vb7817","Tunisia 1:100,000","2849295","36105118307987"
"ch234vx2461","https://purl.stanford.edu/ch234vx2461","Tunisia 1:100,000","2849295","36105118307722"
"cp396wt2828","https://purl.stanford.edu/cp396wt2828","Tunisia 1:100,000","2849295","36105028403579"
"cy470gq2094","https://purl.stanford.edu/cy470gq2094","Tunisia 1:100,000","2849295","36105028402977"
"cy877cb3368","https://purl.stanford.edu/cy877cb3368","Tunisia 1:100,000","2849295","36105118307813"
"cz155tx7144","https://purl.stanford.edu/cz155tx7144","Tunisia 1:100,000","2849295","36105028403207"
"dd989bs1936","https://purl.stanford.edu/dd989bs1936","Tunisia 1:100,000","2849295","36105118386700"
"df603bp0225","https://purl.stanford.edu/df603bp0225","Tunisia 1:100,000","2849295","36105028403884"
"dp571hc3717","https://purl.stanford.edu/dp571hc3717","Tunisia 1:100,000","2849295","36105028403462"
"fb979cc9312","https://purl.stanford.edu/fb979cc9312","Tunisia 1:100,000","2849295","36105028403926"
"fd782sy9491","https://purl.stanford.edu/fd782sy9491","Tunisia 1:100,000","2849295","36105028403355"
"fg385pr6912","https://purl.stanford.edu/fg385pr6912","Tunisia 1:100,000","2849295","36105118307532"
"fm853kr3048","https://purl.stanford.edu/fm853kr3048","Tunisia 1:100,000","2849295","36105028403769"
"fr502pr9436","https://purl.stanford.edu/fr502pr9436","Tunisia 1:100,000","2849295","36105118307839"
"ft446hm3871","https://purl.stanford.edu/ft446hm3871","Tunisia 1:100,000","2849295","36105118307904"
"fv447hb1645","https://purl.stanford.edu/fv447hb1645","Tunisia 1:100,000","2849295","36105118307870"
"fz770pz4863","https://purl.stanford.edu/fz770pz4863","Tunisia 1:100,000","2849295","36105028403710"
"gd762nt7754","https://purl.stanford.edu/gd762nt7754","Tunisia 1:100,000","2849295","36105028403181"
"gj626ws0080","https://purl.stanford.edu/gj626ws0080","Tunisia 1:100,000","2849295","36105028403439"
"gm615sv3863","https://purl.stanford.edu/gm615sv3863","Tunisia 1:100,000","2849295","36105118307755"
"gp708fs0549","https://purl.stanford.edu/gp708fs0549","Tunisia 1:100,000","2849295","36105118307631"
"gs123kg2865","https://purl.stanford.edu/gs123kg2865","Tunisia 1:100,000","2849295","36105028403272"
"hj852xf7517","https://purl.stanford.edu/hj852xf7517","Tunisia 1:100,000","2849295","36105028403504"
"hm859nb8326","https://purl.stanford.edu/hm859nb8326","Tunisia 1:100,000","2849295","36105028403728"
"hp159hf1152","https://purl.stanford.edu/hp159hf1152","Tunisia 1:100,000","2849295","36105028403967"
"hv552yf9127","https://purl.stanford.edu/hv552yf9127","Tunisia 1:100,000","2849295","36105118307961"
"jb175gm4073","https://purl.stanford.edu/jb175gm4073","Tunisia 1:100,000","2849295","36105028403223"
"jd084tj5841","https://purl.stanford.edu/jd084tj5841","Tunisia 1:100,000","2849295","36105028403256"
"jf994hh0653","https://purl.stanford.edu/jf994hh0653","Tunisia 1:100,000","2849295","36105118307599"
"jp931cf7359","https://purl.stanford.edu/jp931cf7359","Tunisia 1:100,000","2849295","36105028403140"
"kg586pk9244","https://purl.stanford.edu/kg586pk9244","Tunisia 1:100,000","2849295","36105028403074"
"kh233mf7147","https://purl.stanford.edu/kh233mf7147","Tunisia 1:100,000","2849295","36105028404023"
"kw158kv1360","https://purl.stanford.edu/kw158kv1360","Tunisia 1:100,000","2849295","36105118307938"
"kz661pd7484","https://purl.stanford.edu/kz661pd7484","Tunisia 1:100,000","2849295","36105028403165"
"mz467vt9241","https://purl.stanford.edu/mz467vt9241","Tunisia 1:100,000","2849295","36105118386684"
"nc817kk4043","https://purl.stanford.edu/nc817kk4043","Tunisia 1:100,000","2849295","36105118386650"
"np857wg0314","https://purl.stanford.edu/np857wg0314","Tunisia 1:100,000","2849295","36105028403793"
"nq718cv5356","https://purl.stanford.edu/nq718cv5356","Tunisia 1:100,000","2849295","36105028403850"
"pb895pb0558","https://purl.stanford.edu/pb895pb0558","Tunisia 1:100,000","2849295","36105028402936"
"pd007ns3250","https://purl.stanford.edu/pd007ns3250","Tunisia 1:100,000","2849295","36105118307854"
"pf791wr6077","https://purl.stanford.edu/pf791wr6077","Tunisia 1:100,000","2849295","36105028403686"
"pf794jt4977","https://purl.stanford.edu/pf794jt4977","Tunisia 1:100,000","2849295","36105028403520"
"pq498rz3322","https://purl.stanford.edu/pq498rz3322","Tunisia 1:100,000","2849295","36105118386619"
"qb515sh8282","https://purl.stanford.edu/qb515sh8282","Tunisia 1:100,000","2849295","36105118307771"
"qc245kb8907","https://purl.stanford.edu/qc245kb8907","Tunisia 1:100,000","2849295","36105028403603"
"qj290rs3991","https://purl.stanford.edu/qj290rs3991","Tunisia 1:100,000","2849295","36105118307557"
"qk723gj9969","https://purl.stanford.edu/qk723gj9969","Tunisia 1:100,000","2849295","36105118307433"
"qk938cr2633","https://purl.stanford.edu/qk938cr2633","Tunisia 1:100,000","2849295","36105118307615"
"qv828gv9854","https://purl.stanford.edu/qv828gv9854","Tunisia 1:100,000","2849295","36105028404007"
