"Druid","Purl","Title","Catkey","Barcode"
"bk622bq0920","https://purl.stanford.edu/bk622bq0920","Tunis","6521953","36105128124547"
"cc088fc4429","https://purl.stanford.edu/cc088fc4429","Tunis","6521953","36105128125288"
"cc424yv3691","https://purl.stanford.edu/cc424yv3691","Tunis","6521953","36105128124489"
"cf101hz5164","https://purl.stanford.edu/cf101hz5164","Tunis","6521953","36105128125221"
"dh731kb3895","https://purl.stanford.edu/dh731kb3895","Tunis","6521953","36105128124448"
"dk813jj5999","https://purl.stanford.edu/dk813jj5999","Tunis","6521953","36105128125312"
"dn583fq1684","https://purl.stanford.edu/dn583fq1684","Tunis","6521953","36105128125403"
"ds285jn0608","https://purl.stanford.edu/ds285jn0608","Tunis","6521953","36105128124505"
"dv097wn9494","https://purl.stanford.edu/dv097wn9494","Tunis","6521953","36105128125411"
"fh034xq6288","https://purl.stanford.edu/fh034xq6288","Tunis","6521953","36105128124380"
"fj355hy9915","https://purl.stanford.edu/fj355hy9915","Tunis","6521953","36105128124521"
"fj607pr6723","https://purl.stanford.edu/fj607pr6723","Tunis","6521953","36105128125254"
"fn464rz7342","https://purl.stanford.edu/fn464rz7342","Tunis","6521953","36105128124570"
"fz050fv8303","https://purl.stanford.edu/fz050fv8303","Tunis","6521953","36105128124422"
"gb030qb4069","https://purl.stanford.edu/gb030qb4069","Tunis","6521953","36105128124364"
"gz040th9138","https://purl.stanford.edu/gz040th9138","Tunis","6521953","36105128124406"
"hy822jg7108","https://purl.stanford.edu/hy822jg7108","Tunis","6521953","36105128124471"
"hz838ng0138","https://purl.stanford.edu/hz838ng0138","Tunis","6521953","36105128124455"
"jb543hn8286","https://purl.stanford.edu/jb543hn8286","Tunis","6521953","36105128125304"
"jn730wc7414","https://purl.stanford.edu/jn730wc7414","Tunis","6521953","36105128125239"
"jq345dg1708","https://purl.stanford.edu/jq345dg1708","Tunis","6521953","36105128124414"
"jr685ws0539","https://purl.stanford.edu/jr685ws0539","Tunis","6521953","36105128124497"
"mb020jn3053","https://purl.stanford.edu/mb020jn3053","Tunis","6521953","36105128124430"
"mg372dq3726","https://purl.stanford.edu/mg372dq3726","Tunis","6521953","36105128124463"
"mm454cg3935","https://purl.stanford.edu/mm454cg3935","Tunis","6521953","36105128125213"
"mr319ss9612","https://purl.stanford.edu/mr319ss9612","Tunis","6521953","36105128124398"
"nj201hh6385","https://purl.stanford.edu/nj201hh6385","Tunis","6521953","36105128124554"
"nr469hn4313","https://purl.stanford.edu/nr469hn4313","Tunis","6521953","36105128125080"
"ph709ky3359","https://purl.stanford.edu/ph709ky3359","Tunis","6521953","36105128125262"
"pj840xp3535","https://purl.stanford.edu/pj840xp3535","Tunis","6521953","36105128124372"
"pm664wp0402","https://purl.stanford.edu/pm664wp0402","Tunis","6521953","36105128124513"
"pn718fx6885","https://purl.stanford.edu/pn718fx6885","Tunis","6521953","36105128125429"
"pz175xj1321","https://purl.stanford.edu/pz175xj1321","Tunis","6521953","36105128125205"
"qw809vb9699","https://purl.stanford.edu/qw809vb9699","Tunis","6521953","36105128125296"
"rw557rb5582","https://purl.stanford.edu/rw557rb5582","Tunis","6521953","36105128125395"
"td991cs1176","https://purl.stanford.edu/td991cs1176","Tunis","6521953","36105128124596"
"ty802vc7790","https://purl.stanford.edu/ty802vc7790","Tunis","6521953","36105128124588"
"xy466gg0678","https://purl.stanford.edu/xy466gg0678","Tunis","6521953","36105128125437"
"yc665sz2372","https://purl.stanford.edu/yc665sz2372","Tunis","6521953","36105128124562"
"yj880gk2624","https://purl.stanford.edu/yj880gk2624","Tunis","6521953","36105128125247"
"yw098fv2630","https://purl.stanford.edu/yw098fv2630","Tunis","6521953","36105128124539"
"zy901kj5467","https://purl.stanford.edu/zy901kj5467","Tunis","6521953","36105128125270"
