Ckey,Call_Num,Symph_Bar,Druid,Purl,Title
8725587,G5751 .P2 1914 .G7 SHEET NO.18,36105131213972,dt575hh9735,https://purl.stanford.edu/dt575hh9735,"""Geographia"" two miles to one inch map of England & Wales (in 19 sheets)"
8725587,G5751 .P2 1914 .G7 SHEET NO.19,36105131213980,gc251cz0239,https://purl.stanford.edu/gc251cz0239,"""Geographia"" two miles to one inch map of England & Wales (in 19 sheets)"
8725587,G5751 .P2 1914 .G7 SHEET NO.17,36105131213964,hd530jy4351,https://purl.stanford.edu/hd530jy4351,"""Geographia"" two miles to one inch map of England & Wales (in 19 sheets)"
8725587,G5751 .P2 1914 .G7 SHEET NO.14,36105131213865,jk079bp5922,https://purl.stanford.edu/jk079bp5922,"""Geographia"" two miles to one inch map of England & Wales (in 19 sheets)"
8725587,G5751 .P2 1914 .G7 SHEET NO.5,36105131213873,kz091pn3954,https://purl.stanford.edu/kz091pn3954,"""Geographia"" two miles to one inch map of England & Wales (in 19 sheets)"
8725587,G5751 .P2 1914 .G7 SHEET NO.13,36105131213923,ry548yk4259,https://purl.stanford.edu/ry548yk4259,"""Geographia"" two miles to one inch map of England & Wales (in 19 sheets)"
8725587,G5751 .P2 1914 .G7 SHEET NO.6,36105131213881,sc858jv7650,https://purl.stanford.edu/sc858jv7650,"""Geographia"" two miles to one inch map of England & Wales (in 19 sheets)"
8725587,G5751 .P2 1914 .G7 SHEET NO.12,36105131213915,sx968gb3337,https://purl.stanford.edu/sx968gb3337,"""Geographia"" two miles to one inch map of England & Wales (in 19 sheets)"
8725587,G5751 .P2 1914 .G7 SHEET NO.9,36105131213907,sy040gk2613,https://purl.stanford.edu/sy040gk2613,"""Geographia"" two miles to one inch map of England & Wales (in 19 sheets)"
8725587,G5751 .P2 1914 .G7 SHEET NO.8,36105131213899,tg365fm4995,https://purl.stanford.edu/tg365fm4995,"""Geographia"" two miles to one inch map of England & Wales (in 19 sheets)"
