Ckey,Symph_Bar,Call_Num,Label
9614758,36105216328372,G7820 S100 .J4 13-WA-178,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329016,G7820 S100 .J4 13-WA-180,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329313,G7820 S100 .J4 14-O-112,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216340997,G7820 S100 .J4 14-O-151,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329388,G7820 S100 .J4 14-O-161,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329396,G7820 S100 .J4 14-O-171,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329404,G7820 S100 .J4 14-O-172,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329412,G7820 S100 .J4 14-O-173,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329420,G7820 S100 .J4 14-O-181,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329438,G7820 S100 .J4 14-O-182,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329446,G7820 S100 .J4 14-O-183,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329453,G7820 S100 .J4 14-O-191,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329321,G7820 S100 .J4 14-O-192,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329339,G7820 S100 .J4 14-O-193,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329024,G7820 S100 .J4 14-WA-119,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329032,G7820 S100 .J4 14-WA-120,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329040,G7820 S100 .J4 14-WA-126,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329057,G7820 S100 .J4 14-WA-127,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329065,G7820 S100 .J4 14-WA-136,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329073,G7820 S100 .J4 14-WA-137,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329081,G7820 S100 .J4 14-WA-146,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329099,G7820 S100 .J4 14-WA-147,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329107,G7820 S100 .J4 14-WA-156,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329115,G7820 S100 .J4 14-WA-157,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329123,G7820 S100 .J4 14-WA-158,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329131,G7820 S100 .J4 14-WA-159,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
9614758,36105216329149,G7820 S100 .J4 14-WA-168,Y?zu (K?ch? shashin sokury?) Kita Shina j?manbun no ichi zu 
