Call_Num,Druid,Purl,Title,Sym_Bar,Ckey
G7960 S50 .K61 NG-51-10-5,zv410nb2638,https://purl.stanford.edu/zv410nb2638,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NG-51-16-5,mk997gg8525,https://purl.stanford.edu/mk997gg8525,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NG-51-16-6,pn471xx3268,https://purl.stanford.edu/pn471xx3268,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NG-51-18-3,wq528jb3193,https://purl.stanford.edu/wq528jb3193,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NG-51-18-4,ph299bg5284,https://purl.stanford.edu/ph299bg5284,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NG-51-18-6,qr131gj9716,https://purl.stanford.edu/qr131gj9716,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NG-51-18-7,qq146kj4438,https://purl.stanford.edu/qq146kj4438,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NG-51-18-14,ps095dc8989,https://purl.stanford.edu/ps095dc8989,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NG-52-4-9/13,fy996dk0689,https://purl.stanford.edu/fy996dk0689,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NG-52-6-13,sh396my9234,https://purl.stanford.edu/sh396my9234,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NG-52-19-2,bj513rz6780,https://purl.stanford.edu/bj513rz6780,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NG-52-19-8,ps660fn8789,https://purl.stanford.edu/ps660fn8789,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
G7960 S50 .K61 NG-52-20-11,ry529fz2101,https://purl.stanford.edu/ry529fz2101,五万分一地形圖 - Gomanbun no ichi chikeizu,3.61052E+13,9741696
