Ckey,Symph_Bar,Call_Num,Label
9741696,36105216171004,G7960 S50 .K61 NG-51-10-5,"1:50,000 chikeizu"
9741696,36105216171012,G7960 S50 .K61 NG-51-16-5,"1:50,000 chikeizu"
9741696,36105216171020,G7960 S50 .K61 NG-51-16-6,"1:50,000 chikeizu"
9741696,36105216171038,G7960 S50 .K61 NG-51-18-3,"1:50,000 chikeizu"
9741696,36105216171046,G7960 S50 .K61 NG-51-18-4,"1:50,000 chikeizu"
9741696,36105216171053,G7960 S50 .K61 NG-51-18-6,"1:50,000 chikeizu"
9741696,36105216171061,G7960 S50 .K61 NG-51-18-7,"1:50,000 chikeizu"
9741696,36105216171079,G7960 S50 .K61 NG-51-18-14,"1:50,000 chikeizu"
9741696,36105216170840,G7960 S50 .K61 NG-52-4-9/13,"1:50,000 chikeizu"
9741696,36105216170857,G7960 S50 .K61 NG-52-6-13,"1:50,000 chikeizu"
9741696,36105216170865,G7960 S50 .K61 NG-52-19-2,"1:50,000 chikeizu"
9741696,36105216170873,G7960 S50 .K61 NG-52-19-8,"1:50,000 chikeizu"
9741696,36105216170881,G7960 S50 .K61 NG-52-20-11,"1:50,000 chikeizu"
9741696,36105216170899,G7960 S50 .K61 NG-52-20-12,"1:50,000 chikeizu"
9741696,36105216170907,G7960 S50 .K61 NG-52-20-14,"1:50,000 chikeizu"
9741696,36105216170915,G7960 S50 .K61 NG-52-20-16,"1:50,000 chikeizu"
9741696,36105216170923,G7960 S50 .K61 NG-52-21-9,"1:50,000 chikeizu"
9741696,36105216170931,G7960 S50 .K61 NG-52-21-13,"1:50,000 chikeizu"
9741696,36105216170949,G7960 S50 .K61 NG-52-26-2,"1:50,000 chikeizu"
9741696,36105216170956,G7960 S50 .K61 NG-52-26-3,"1:50,000 chikeizu"
9741696,36105216185004,G7960 S50 .K61 NG-52-26-4,"1:50,000 chikeizu"
9741696,36105216185012,G7960 S50 .K61 NG-52-27-1,"1:50,000 chikeizu"
9741696,36105216185020,G7960 S50 .K61 NG-52-27-2,"1:50,000 chikeizu"
9741696,36105216185038,G7960 S50 .K61 NG-52-27-3,"1:50,000 chikeizu"
9741696,36105216185046,G7960 S50 .K61 NG-52-27-6,"1:50,000 chikeizu"
9741696,36105216185053,G7960 S50 .K61 NG-52-27-7,"1:50,000 chikeizu"
9741696,36105216185061,G7960 S50 .K61 NG-52-27-12,"1:50,000 chikeizu"
9741696,36105216185079,G7960 S50 .K61 NG-52-27-14,"1:50,000 chikeizu"
9741696,36105216185087,G7960 S50 .K61 NG-52-27-15,"1:50,000 chikeizu"
9741696,36105216185095,G7960 S50 .K61 NG-52-33-2,"1:50,000 chikeizu"
9741696,36105216185103,G7960 S50 .K61 NG-52-33-3,"1:50,000 chikeizu"
9741696,36105216185111,G7960 S50 .K61 NG-52-33-6,"1:50,000 chikeizu"
9741696,36105216185129,G7960 S50 .K61 NG-54-7-14,"1:50,000 chikeizu"
9741696,36105216185137,G7960 S50 .K61 NG-54-7-15,"1:50,000 chikeizu"
9741696,36105216185145,G7960 S50 .K61 NG-54-7-16,"1:50,000 chikeizu"
9741696,36105216185152,G7960 S50 .K61 NG-54-8-13,"1:50,000 chikeizu"
9741696,36105216185160,G7960 S50 .K61 NG-54-8-14,"1:50,000 chikeizu"
9741696,36105216185178,G7960 S50 .K61 NG-54-8-16,"1:50,000 chikeizu"
9741696,36105216185186,G7960 S50 .K61 NG-54-9-13,"1:50,000 chikeizu"
9741696,36105216185194,G7960 S50 .K61 NG-54-16-12,"1:50,000 chikeizu"
9741696,36105216185202,G7960 S50 .K61 NG-54-17-12,"1:50,000 chikeizu"
9741696,36105216185236,G7960 S50 .K61 NH-52-1-9,"1:50,000 chikeizu"
9741696,36105216185244,G7960 S50 .K61 NH-52-1-10,"1:50,000 chikeizu"
9741696,36105216185251,G7960 S50 .K61 NH-52-1-11,"1:50,000 chikeizu"
9741696,36105216185269,G7960 S50 .K61 NH-52-1-12,"1:50,000 chikeizu"
9741696,36105216185277,G7960 S50 .K61 NH-52-1-13,"1:50,000 chikeizu"
9741696,36105216185285,G7960 S50 .K61 NH-52-1-14,"1:50,000 chikeizu"
9741696,36105216185293,G7960 S50 .K61 NH-52-1-15,"1:50,000 chikeizu"
9741696,36105216185301,G7960 S50 .K61 NH-52-1-16,"1:50,000 chikeizu"
9741696,36105216185319,G7960 S50 .K61 NH-52-7-1,"1:50,000 chikeizu"
9741696,36105216185327,G7960 S50 .K61 NH-52-7-2,"1:50,000 chikeizu"
9741696,36105216185335,G7960 S50 .K61 NH-52-7-3,"1:50,000 chikeizu"
9741696,36105216185343,G7960 S50 .K61 NH-52-7-4,"1:50,000 chikeizu"
9741696,36105216185350,G7960 S50 .K61 NH-52-7-5,"1:50,000 chikeizu"
9741696,36105216185368,G7960 S50 .K61 NH-52-7-6,"1:50,000 chikeizu"
9741696,36105216185376,G7960 S50 .K61 NH-52-7-7,"1:50,000 chikeizu"
9741696,36105216185384,G7960 S50 .K61 NH-52-7-8,"1:50,000 chikeizu"
9741696,36105216185392,G7960 S50 .K61 NH-52-7-9,"1:50,000 chikeizu"
9741696,36105216185400,G7960 S50 .K61 NH-52-7-10,"1:50,000 chikeizu"
9741696,36105216185418,G7960 S50 .K61 NH-52-7-11,"1:50,000 chikeizu"
9741696,36105216185426,G7960 S50 .K61 NH-52-7-12,"1:50,000 chikeizu"
9741696,36105216185434,G7960 S50 .K61 NH-52-7-13,"1:50,000 chikeizu"
9741696,36105216185442,G7960 S50 .K61 NH-52-7-14,"1:50,000 chikeizu"
9741696,36105216185459,G7960 S50 .K61 NH-52-7-16,"1:50,000 chikeizu"
9741696,36105216185467,G7960 S50 .K61 NH-52-8-1 EAST,"1:50,000 chikeizu"
9741696,36105216185475,G7960 S50 .K61 NH-52-8-1,"1:50,000 chikeizu"
9741696,36105216185483,G7960 S50 .K61 NH-52-8-2,"1:50,000 chikeizu"
9741696,36105216185491,G7960 S50 .K61 NH-52-8-4 EAST,"1:50,000 chikeizu"
9741696,36105216185509,G7960 S50 .K61 NH-52-8-4,"1:50,000 chikeizu"
9741696,36105216185517,G7960 S50 .K61 NH-52-8-5,"1:50,000 chikeizu"
9741696,36105216185525,G7960 S50 .K61 NH-52-8-6,"1:50,000 chikeizu"
9741696,36105216185533,G7960 S50 .K61 NH-52-8-9,"1:50,000 chikeizu"
9741696,36105216185541,G7960 S50 .K61 NH-52-8-13,"1:50,000 chikeizu"
9741696,36105216185558,G7960 S50 .K61 NH-52-9-1 EAST,"1:50,000 chikeizu"
9741696,36105216185566,G7960 S50 .K61 NH-52-9-1,"1:50,000 chikeizu"
9741696,36105216185574,G7960 S50 .K61 NH-52-9-6,"1:50,000 chikeizu"
9741696,36105216185582,G7960 S50 .K61 NH-52-13-1,"1:50,000 chikeizu"
9741696,36105216185590,G7960 S50 .K61 NH-52-13-2,"1:50,000 chikeizu"
9741696,36105216172408,G7960 S50 .K61 NH-52-13-6,"1:50,000 chikeizu"
9741696,36105216172416,G7960 S50 .K61 NH-52-13-7,"1:50,000 chikeizu"
9741696,36105216172424,G7960 S50 .K61 NH-52-16-5,"1:50,000 chikeizu"
9741696,36105216172432,G7960 S50 .K61 NH-52-16-6,"1:50,000 chikeizu"
9741696,36105216172440,G7960 S50 .K61 NH-52-17-9,"1:50,000 chikeizu"
9741696,36105216172457,G7960 S50 .K61 NH-52-17-14,"1:50,000 chikeizu"
9741696,36105216172465,G7960 S50 .K61 NH-52-18-2/3,"1:50,000 chikeizu"
9741696,36105216172473,G7960 S50 .K61 NH-52-18-5,"1:50,000 chikeizu"
9741696,36105216172481,G7960 S50 .K61 NH-52-18-7,"1:50,000 chikeizu"
9741696,36105216172499,G7960 S50 .K61 NH-52-18-10,"1:50,000 chikeizu"
9741696,36105216172507,G7960 S50 .K61 NH-52-18-12,"1:50,000 chikeizu"
9741696,36105216172515,G7960 S50 .K61 NH-52-18-15,"1:50,000 chikeizu"
9741696,36105216172523,G7960 S50 .K61 NH-52-18-16,"1:50,000 chikeizu"
9741696,36105216172531,G7960 S50 .K61 NH-54-19-16,"1:50,000 chikeizu"
9741696,36105216172549,G7960 S50 .K61 NI-52-2-4,"1:50,000 chikeizu"
9741696,36105216172556,G7960 S50 .K61 NI-52-2-8,"1:50,000 chikeizu"
9741696,36105216172564,G7960 S50 .K61 NI-52-2-16,"1:50,000 chikeizu"
9741696,36105216172572,G7960 S50 .K61 NI-52-3-1,"1:50,000 chikeizu"
9741696,36105216172580,G7960 S50 .K61 NI-52-3-2,"1:50,000 chikeizu"
9741696,36105216172598,G7960 S50 .K61 NI-52-3-3,"1:50,000 chikeizu"
9741696,36105216172606,G7960 S50 .K61 NI-52-3-4,"1:50,000 chikeizu"
9741696,36105216172614,G7960 S50 .K61 NI-52-3-5,"1:50,000 chikeizu"
