Call_Num,Druid,Purl,Title,Symph_Bar,Ckey
G7964 .Y9 A1 1900 .Y8 SHEET 1-11,pc325nz6465,https://purl.stanford.edu/pc325nz6465,由良要塞近傍 - Yura Yōsai kinbō,36105221644771,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 1-12,mf722jv3953,https://purl.stanford.edu/mf722jv3953,由良要塞近傍 - Yura Yōsai kinbō,36105221089696,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 1-13,gn465zy1578,https://purl.stanford.edu/gn465zy1578,由良要塞近傍 - Yura Yōsai kinbō,36105221089704,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 1-14,nf122pv0942,https://purl.stanford.edu/nf122pv0942,由良要塞近傍 - Yura Yōsai kinbō,36105221089712,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 1-15,kw295cb0171,https://purl.stanford.edu/kw295cb0171,由良要塞近傍 - Yura Yōsai kinbō,36105221089720,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 1-16,kv620gq7044,https://purl.stanford.edu/kv620gq7044,由良要塞近傍 - Yura Yōsai kinbō,36105221089738,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 1-17,zk072fg0325,https://purl.stanford.edu/zk072fg0325,由良要塞近傍 - Yura Yōsai kinbō,36105221089746,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 2-1,jh296cw2815,https://purl.stanford.edu/jh296cw2815,由良要塞近傍 - Yura Yōsai kinbō,36105221089753,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 2-2,xf901tr0424,https://purl.stanford.edu/xf901tr0424,由良要塞近傍 - Yura Yōsai kinbō,36105221089761,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 2-3,xy448pv0218,https://purl.stanford.edu/xy448pv0218,由良要塞近傍 - Yura Yōsai kinbō,36105221089779,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 2-4,zk424wn0387,https://purl.stanford.edu/zk424wn0387,由良要塞近傍 - Yura Yōsai kinbō,36105221089787,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 2-5,yr203fw6365,https://purl.stanford.edu/yr203fw6365,由良要塞近傍 - Yura Yōsai kinbō,36105221089795,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 2-6,bs764ht7981,https://purl.stanford.edu/bs764ht7981,由良要塞近傍 - Yura Yōsai kinbō,36105221089803,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 2-7,dd790pw5056,https://purl.stanford.edu/dd790pw5056,由良要塞近傍 - Yura Yōsai kinbō,36105221089811,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 2-8,kq165pk4044,https://purl.stanford.edu/kq165pk4044,由良要塞近傍 - Yura Yōsai kinbō,36105221089829,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 2-9,jj427qj1864,https://purl.stanford.edu/jj427qj1864,由良要塞近傍 - Yura Yōsai kinbō,36105221089837,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 2-10,kh135ft4620,https://purl.stanford.edu/kh135ft4620,由良要塞近傍 - Yura Yōsai kinbō,36105221089845,10645328
G7964 .Y9 A1 1900 .Y8 SHEET 2-11,hc846yd9845,https://purl.stanford.edu/hc846yd9845,由良要塞近傍 - Yura Yōsai kinbō,36105221089852,10645328
