Call_Num,Druid,Purl,Title,Symph_Bar,Ckey
G7910 S25 .J3 A-1 PROV.,sq259nw6422,https://purl.stanford.edu/sq259nw6422,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221665156,10716764
G7910 S25 .J3 A-2 PROV.,yz430zk6956,https://purl.stanford.edu/yz430zk6956,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654002,10716764
G7910 S25 .J3 A-3 PROV.,dm120st2646,https://purl.stanford.edu/dm120st2646,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654010,10716764
G7910 S25 .J3 B-1,mz269zp7653,https://purl.stanford.edu/mz269zp7653,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654028,10716764
G7910 S25 .J3 B-1 PROV.,md126hs4857,https://purl.stanford.edu/md126hs4857,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654036,10716764
G7910 S25 .J3 B-2N PROV.,qz357cq6156,https://purl.stanford.edu/qz357cq6156,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654044,10716764
G7910 S25 .J3 B-2,qs386nq1164,https://purl.stanford.edu/qs386nq1164,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654051,10716764
G7910 S25 .J3 B-2 PROV.,nz157pn3739,https://purl.stanford.edu/nz157pn3739,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654069,10716764
G7910 S25 .J3 B-3,xs377sr3790,https://purl.stanford.edu/xs377sr3790,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654077,10716764
G7910 S25 .J3 B-3 PROV.,yc202mx7561,https://purl.stanford.edu/yc202mx7561,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654085,10716764
G7910 S25 .J3 B-4 PROV.,tf334gs0783,https://purl.stanford.edu/tf334gs0783,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654093,10716764
G7910 S25 .J3 B-5,yz661xw8744,https://purl.stanford.edu/yz661xw8744,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654101,10716764
G7910 S25 .J3 B-5 PROV.,yq749kv6861,https://purl.stanford.edu/yq749kv6861,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654119,10716764
G7910 S25 .J3 B-6 PROV.,jy140fk5506,https://purl.stanford.edu/jy140fk5506,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654127,10716764
G7910 S25 .J3 B-7N PROV.,ry946cc3988,https://purl.stanford.edu/ry946cc3988,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654135,10716764
G7910 S25 .J3 B-7 PROV.,fv018bg8853,https://purl.stanford.edu/fv018bg8853,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654143,10716764
G7910 S25 .J3 B-8,ff234sy5584,https://purl.stanford.edu/ff234sy5584,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654150,10716764
G7910 S25 .J3 B-8 PROV.,fr253fs5108,https://purl.stanford.edu/fr253fs5108,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654168,10716764
G7910 S25 .J3 B-9,bk535tc0315,https://purl.stanford.edu/bk535tc0315,二万五千分一地形圖[臺灣] - Niman-gosenbun no ichi chikeizu [Taiwan],36105221654176,10716764
