Call_Num,Druid,Purl,Title,Symph_Bar,Ckey
G8062 .L8 S200 .J3 SHEET 1,nm100xb0154,https://purl.stanford.edu/nm100xb0154,呂宋島附近二十万分一地誌圖 - Rusontō fukin nijumanbun no ichi chishizu,36105216341185,9689700
G8062 .L8 S200 .J3 SHEET 2,rt179dq7503,https://purl.stanford.edu/rt179dq7503,呂宋島附近二十万分一地誌圖 - Rusontō fukin nijumanbun no ichi chishizu,36105216341219,9689700
G8062 .L8 S200 .J3 SHEET 3,xy122cp3909,https://purl.stanford.edu/xy122cp3909,呂宋島附近二十万分一地誌圖 - Rusontō fukin nijumanbun no ichi chishizu,36105216341227,9689700
G8062 .L8 S200 .J3 SHEET 4,qv618cm2629,https://purl.stanford.edu/qv618cm2629,呂宋島附近二十万分一地誌圖 - Rusontō fukin nijumanbun no ichi chishizu,36105216341235,9689700
G8062 .L8 S200 .J3 SHEET 5,cs945zb5559,https://purl.stanford.edu/cs945zb5559,呂宋島附近二十万分一地誌圖 - Rusontō fukin nijumanbun no ichi chishizu,36105216341243,9689700
G8062 .L8 S200 .J3 SHEET 7,xs838fr3816,https://purl.stanford.edu/xs838fr3816,呂宋島附近二十万分一地誌圖 - Rusontō fukin nijumanbun no ichi chishizu,36105216341250,9689700
G8062 .L8 S200 .J3 SHEET 8,ng229cv6469,https://purl.stanford.edu/ng229cv6469,呂宋島附近二十万分一地誌圖 - Rusontō fukin nijumanbun no ichi chishizu,36105216341268,9689700
G8062 .L8 S200 .J3 SHEET 9,pm085yg4493,https://purl.stanford.edu/pm085yg4493,呂宋島附近二十万分一地誌圖 - Rusontō fukin nijumanbun no ichi chishizu,36105216341276,9689700
G8062 .L8 S200 .J3 SHEET 10,yr696xy9778,https://purl.stanford.edu/yr696xy9778,呂宋島附近二十万分一地誌圖 - Rusontō fukin nijumanbun no ichi chishizu,36105216341284,9689700
G8062 .L8 S200 .J3 SHEET 11,gf376wb1264,https://purl.stanford.edu/gf376wb1264,呂宋島附近二十万分一地誌圖 - Rusontō fukin nijumanbun no ichi chishizu,36105216341292,9689700
G8062 .L8 S200 .J3 SHEET 13,hs160zh8101,https://purl.stanford.edu/hs160zh8101,呂宋島附近二十万分一地誌圖 - Rusontō fukin nijumanbun no ichi chishizu,36105216341300,9689700
G8062 .L8 S200 .J3 SHEET 14,hx200ck8857,https://purl.stanford.edu/hx200ck8857,呂宋島附近二十万分一地誌圖 - Rusontō fukin nijumanbun no ichi chishizu,36105216341318,9689700
G8064 .T115 S50 .J3 SHEET 1,cc009kx1945,https://purl.stanford.edu/cc009kx1945,五万分一地形圖 タクロバン近傍 - Gomanbunnoichi chikeizu Takuroban kinbō,36105221663417,10550792
G8064 .T115 S50 .J3 SHEET 2,fp778hd5115,https://purl.stanford.edu/fp778hd5115,五万分一地形圖 タクロバン近傍 - Gomanbunnoichi chikeizu Takuroban kinbō,36105221660777,10550792
G8064 .T115 S50 .J3 SHEET 3,jk784mt0834,https://purl.stanford.edu/jk784mt0834,五万分一地形圖 タクロバン近傍 - Gomanbunnoichi chikeizu Takuroban kinbō,36105221660785,10550792
G8064 .T115 S50 .J3 SHEET 4,wv658dr0378,https://purl.stanford.edu/wv658dr0378,五万分一地形圖 タクロバン近傍 - Gomanbunnoichi chikeizu Takuroban kinbō,36105221660793,10550792
G8064 .T115 S50 .J3 SHEET 6,hq089bf3072,https://purl.stanford.edu/hq089bf3072,五万分一地形圖 タクロバン近傍 - Gomanbunnoichi chikeizu Takuroban kinbō,36105221660801,10550792
