Call_number,Druid,Purl,Title,Symphony_Barcode,Ckey
G7962 .D34 S500 .J3 SHEET 11-9,mq584nb0635,https://purl.stanford.edu/mq584nb0635,???????? - Goj?manbun no ichi Y?chizu,36105221686483,10741606
G7962 .D34 S500 .J3 SHEET 11-16,cn845zx5101,https://purl.stanford.edu/cn845zx5101,???????? - Goj?manbun no ichi Y?chizu,36105221678811,10741606
G7962 .D34 S500 .J3 SHEET 11-17,dj866jt8960,https://purl.stanford.edu/dj866jt8960,???????? - Goj?manbun no ichi Y?chizu,36105221678829,10741606
G7962 .D34 S500 .J3 SHEET 12-8,dx235cj5076,https://purl.stanford.edu/dx235cj5076,???????? - Goj?manbun no ichi Y?chizu,36105221678837,10741606
G7962 .D34 S500 .J3 SHEET 12-9,kd952fc6747,https://purl.stanford.edu/kd952fc6747,???????? - Goj?manbun no ichi Y?chizu,36105221678845,10741606
G7962 .D34 S500 .J3 SHEET 12-9 ED.2,xp425bz9765,https://purl.stanford.edu/xp425bz9765,???????? - Goj?manbun no ichi Y?chizu,36105221678852,10741606
G7962 .D34 S500 .J3 SHEET 12-10,dz999hk9095,https://purl.stanford.edu/dz999hk9095,???????? - Goj?manbun no ichi Y?chizu,36105221678860,10741606
G7962 .D34 S500 .J3 SHEET 12-10 ED.2,ts579vd6827,https://purl.stanford.edu/ts579vd6827,???????? - Goj?manbun no ichi Y?chizu,36105221678878,10741606
G7962 .D34 S500 .J3 SHEET 13-8,th628ng6723,https://purl.stanford.edu/th628ng6723,???????? - Goj?manbun no ichi Y?chizu,36105221678886,10741606
G7962 .D34 S500 .J3 SHEET 13-9,yd137tj9675,https://purl.stanford.edu/yd137tj9675,???????? - Goj?manbun no ichi Y?chizu,36105221678894,10741606
G7962 .D34 S500 .J3 SHEET 13-10,hw211hh3912,https://purl.stanford.edu/hw211hh3912,???????? - Goj?manbun no ichi Y?chizu,36105221678902,10741606
G7962 .D34 S500 .J3 SHEET 13-11,gf384ct2098,https://purl.stanford.edu/gf384ct2098,???????? - Goj?manbun no ichi Y?chizu,36105221678910,10741606
