Call_number,Druid,Purl,Title,Symphony_Barcode,Ckey
G8060 S50 .J3 SHEET 111-53,cv946cw0423,https://purl.stanford.edu/cv946cw0423,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221678704,10760648
G8060 S50 .J3 SHEET 111-54,qd129sh5561,https://purl.stanford.edu/qd129sh5561,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221678712,10760648
G8060 S50 .J3 SHEET 112-54,jt722sf0975,https://purl.stanford.edu/jt722sf0975,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221678720,10760648
G8060 S50 .J3 SHEET 113-53,np412hy9327,https://purl.stanford.edu/np412hy9327,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221678738,10760648
G8060 S50 .J3 SHEET 118-52,qp070fd8659,https://purl.stanford.edu/qp070fd8659,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221678746,10760648
G8060 S50 .J3 SHEET 118-54,fq598kn3708,https://purl.stanford.edu/fq598kn3708,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221663029,10760648
G8060 S50 .J3 SHEET 119-54,mj971sr6054,https://purl.stanford.edu/mj971sr6054,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221665248,10760648
G8060 S50 .J3 SHEET 121-52,kp935kt0356,https://purl.stanford.edu/kp935kt0356,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221665263,10760648
G8060 S50 .J3 SHEET 122-51,fv862sv7410,https://purl.stanford.edu/fv862sv7410,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221653772,10760648
G8060 S50 .J3 SHEET 122-52,qq620gz0452,https://purl.stanford.edu/qq620gz0452,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221653780,10760648
G8060 S50 .J3 SHEET 123-51,yp981sc3848,https://purl.stanford.edu/yp981sc3848,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221653798,10760648
G8060 S50 .J3 SHEET 129-51,wp546tc2484,https://purl.stanford.edu/wp546tc2484,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221653806,10760648
G8060 S50 .J3 SHEET 138-52,sk398xm9173,https://purl.stanford.edu/sk398xm9173,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221653814,10760648
G8060 S50 .J3 SHEET 138-54,nm069fx3458,https://purl.stanford.edu/nm069fx3458,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221644888,10760648
G8060 S50 .J3 SHEET 140-52,gf814hk5247,https://purl.stanford.edu/gf814hk5247,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221651719,10760648
G8060 S50 .J3 SHEET 147-52,kk292xq5086,https://purl.stanford.edu/kk292xq5086,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221651727,10760648
G8060 S50 .J3 SHEET 147-54,tr460wp6583,https://purl.stanford.edu/tr460wp6583,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105118326938,10760648
G8060 S50 .J3 SHEET 148-53,tv903zn8990,https://purl.stanford.edu/tv903zn8990,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221687093,10760648
G8060 S50 .J3 SHEET 149-53,dd210sb2522,https://purl.stanford.edu/dd210sb2522,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221687101,10760648
G8060 S50 .J3 SHEET 156-52,yq855nd5253,https://purl.stanford.edu/yq855nd5253,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221687119,10760648
G8060 S50 .J3 SHEET 156-54,mn139hr6765,https://purl.stanford.edu/mn139hr6765,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221687127,10760648
G8060 S50 .J3 SHEET 157-54,cb902ks1682,https://purl.stanford.edu/cb902ks1682,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105221687135,10760648
G8060 S50 .J3 SHEET 158-53,tj296zk8995,https://purl.stanford.edu/tj296zk8995,比律賓　五万分一圖 - Firippin gomanbun no ichi zu,36105118326888,10760648
G8060 S50 .J3 SHEET 158-54,mz153tn3151,https://purl.stanford.edu/mz153tn3151,比律賓五万分一圖 - Firippin gomanbun no ichi zu,36105221689172,10760648
G8060 S50 .J3 SHEET 159-52,wn070xn1159,https://purl.stanford.edu/wn070xn1159,比律賓五万分一圖 - Firippin gomanbun no ichi zu,36105221689180,10760648
G8060 S50 .J3 SHEET 160-51,cc259vv3084,https://purl.stanford.edu/cc259vv3084,比律賓五万分一圖 - Firippin gomanbun no ichi zu,36105221689198,10760648
G8060 S50 .J3 SHEET 160-53,xb427ww5192,https://purl.stanford.edu/xb427ww5192,比律賓五万分一圖 - Firippin gomanbun no ichi zu,36105221689206,10760648
G8060 S50 .J3 SHEET 166-52,bn284rj6309,https://purl.stanford.edu/bn284rj6309,比律賓五万分一圖 - Firippin gomanbun no ichi zu,36105221689214,10760648
G8060 S50 .J3 SHEET 167-51,vp012fp2220,https://purl.stanford.edu/vp012fp2220,比律賓五万分一圖 - Firippin gomanbun no ichi zu,36105221689222,10760648
