Ckey,Call_Num,Barcode,Druid,Purl,Title
4540802,G7823 .F8 S50 .C51 8229-I,36105023908630,nd029qq0637,https://purl.stanford.edu/nd029qq0637,Fujian sheng
4540802,G7823 .F8 S50 .C51 8229-IV,36105023908275,sk320ch1933,https://purl.stanford.edu/sk320ch1933,Fujian sheng
4540802,G7823 .F8 S50 .C51 8230-I,36105023908283,rj140fj6638,https://purl.stanford.edu/rj140fj6638,Fujian sheng
4540802,G7823 .F8 S50 .C51 8230-II,36105024049137,gn493yn7934,https://purl.stanford.edu/gn493yn7934,Fujian sheng
4540802,G7823 .F8 S50 .C51 8231-I,36105024049145,zb130gy3827,https://purl.stanford.edu/zb130gy3827,Fujian sheng
4540802,G7823 .F8 S50 .C51 8231-II,36105024049152,qf611xs7027,https://purl.stanford.edu/qf611xs7027,Fujian sheng
4540802,G7823 .F8 S50 .C51 8232-I,36105024049160,gk665mj4135,https://purl.stanford.edu/gk665mj4135,Fujian sheng
4540802,G7823 .F8 S50 .C51 8232-II,36105216289400,xy476vn3637,https://purl.stanford.edu/xy476vn3637,Fujian sheng
4540802,G7823 .F8 S50 .C51 8328-I,36105024049103,cv559cp4884,https://purl.stanford.edu/cv559cp4884,Fujian sheng
4540802,G7823 .F8 S50 .C51 8329-I,36105024049053,cd824nw0779,https://purl.stanford.edu/cd824nw0779,Fujian sheng
4540802,G7823 .F8 S50 .C51 8329-II,36105024049061,gg546qt0709,https://purl.stanford.edu/gg546qt0709,Fujian sheng
4540802,G7823 .F8 S50 .C51 8329-III,36105024049079,gr445zj8405,https://purl.stanford.edu/gr445zj8405,Fujian sheng
4540802,G7823 .F8 S50 .C51 8329-IV,36105024049087,tr995vz5734,https://purl.stanford.edu/tr995vz5734,Fujian sheng
4540802,G7823 .F8 S50 .C51 8330-I,36105024049012,pv525ym7900,https://purl.stanford.edu/pv525ym7900,Fujian sheng
4540802,G7823 .F8 S50 .C51 8330-II,36105024049020,vr978rn8231,https://purl.stanford.edu/vr978rn8231,Fujian sheng
4540802,G7823 .F8 S50 .C51 8330-III,36105024049038,rd517hh5797,https://purl.stanford.edu/rd517hh5797,Fujian sheng
4540802,G7823 .F8 S50 .C51 8330-IV,36105024049046,wd836qt6145,https://purl.stanford.edu/wd836qt6145,Fujian sheng
4540802,G7823 .F8 S50 .C51 8331-I,36105024048972,hg684dp4130,https://purl.stanford.edu/hg684dp4130,Fujian sheng
4540802,G7823 .F8 S50 .C51 8331-II,36105024048980,jd101tx0857,https://purl.stanford.edu/jd101tx0857,Fujian sheng
4540802,G7823 .F8 S50 .C51 8331-III,36105024048998,zd676nz6873,https://purl.stanford.edu/zd676nz6873,Fujian sheng
4540802,G7823 .F8 S50 .C51 8331-IV,36105024049004,qb176gj1522,https://purl.stanford.edu/qb176gj1522,Fujian sheng
4540802,G7823 .F8 S50 .C51 8332-I,36105024049178,ns690jb0553,https://purl.stanford.edu/ns690jb0553,Fujian sheng
4540802,G7823 .F8 S50 .C51 8332-II,36105023908622,qk642ry6607,https://purl.stanford.edu/qk642ry6607,Fujian sheng
4540802,G7823 .F8 S50 .C51 8332-III,36105023908598,tn434mq4934,https://purl.stanford.edu/tn434mq4934,Fujian sheng
4540802,G7823 .F8 S50 .C51 8332-IV,36105024049186,np037pm8526,https://purl.stanford.edu/np037pm8526,Fujian sheng
