Druid,Purl,Title,Catkey,Barcode
bg858gr7451,https://purl.stanford.edu/bg858gr7451,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593728
cw350sp4577,https://purl.stanford.edu/cw350sp4577,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593777
dx413qs1829,https://purl.stanford.edu/dx413qs1829,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593744
hc498xd0534,https://purl.stanford.edu/hc498xd0534,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593801
hm907jn2992,https://purl.stanford.edu/hm907jn2992,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593819
ms922cv4189,https://purl.stanford.edu/ms922cv4189,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593959
my640fv3837,https://purl.stanford.edu/my640fv3837,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593736
nd295nh4591,https://purl.stanford.edu/nd295nh4591,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593942
sh094jr2148,https://purl.stanford.edu/sh094jr2148,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593785
sh448gj6117,https://purl.stanford.edu/sh448gj6117,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593934
tp683nw0182,https://purl.stanford.edu/tp683nw0182,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593793
wn963qb2148,https://purl.stanford.edu/wn963qb2148,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593751
xd452tp9869,https://purl.stanford.edu/xd452tp9869,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593710
yb673tp3421,https://purl.stanford.edu/yb673tp3421,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593769
yp490zs0520,https://purl.stanford.edu/yp490zs0520,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593835
zv533zy8944,https://purl.stanford.edu/zv533zy8944,Texas Barrier Islands Region ecological characterization atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9927275,36105216593827
cr875sy6247,https://purl.stanford.edu/cr875sy6247,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593702
cy365qn4448,https://purl.stanford.edu/cy365qn4448,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593603
cz440ym6639,https://purl.stanford.edu/cz440ym6639,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593652
dm435nc7518,https://purl.stanford.edu/dm435nc7518,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216592969
