Ckey,Call_Num,Symph_Bar,Title,Druid,Purl
9940846,G3931 .D1 S100 .U5 MAP A5,36105216601281,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",cp227ds3703,https://purl.stanford.edu/cp227ds3703
9940846,G3931 .D1 S100 .U5 MAP A17,36105216601166,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",cp596rk0211,https://purl.stanford.edu/cp596rk0211
9940846,G3931 .D1 S100 .U5 MAP A1,36105216601323,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",cr066sh5945,https://purl.stanford.edu/cr066sh5945
9940846,G3931 .D1 S100 .U5 MAP A10,36105216601232,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",dq034ws4371,https://purl.stanford.edu/dq034ws4371
9940846,G3931 .D1 S100 .U5 MAP A2,36105216601315,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",fj426yr6997,https://purl.stanford.edu/fj426yr6997
9940846,G3931 .D1 S100 .U5 MAP A13,36105216601208,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",jj692dc5044,https://purl.stanford.edu/jj692dc5044
9940846,G3931 .D1 S100 .U5 MAP A7,36105216601265,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",jk028hn9332,https://purl.stanford.edu/jk028hn9332
9940846,G3931 .D1 S100 .U5 MAP A3,36105216601307,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",kn964vw7538,https://purl.stanford.edu/kn964vw7538
9940846,G3931 .D1 S100 .U5 MAP A8,36105216601257,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",ks042mm7173,https://purl.stanford.edu/ks042mm7173
9940846,G3931 .D1 S100 .U5 MAP A4,36105216601299,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",kz220qc7960,https://purl.stanford.edu/kz220qc7960
9940846,G3931 .D1 S100 .U5 MAP A14,36105216601190,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",qz228tc3454,https://purl.stanford.edu/qz228tc3454
9940846,G3931 .D1 S100 .U5 MAP A12,36105216601216,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",rq463gk2704,https://purl.stanford.edu/rq463gk2704
9940846,G3931 .D1 S100 .U5 MAP A6,36105216601273,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",rr952sn4911,https://purl.stanford.edu/rr952sn4911
9940846,G3931 .D1 S100 .U5 MAP A11,36105216601224,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",sf418zv1863,https://purl.stanford.edu/sf418zv1863
9940846,G3931 .D1 S100 .U5 MAP A9,36105216601240,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",sp133mm9557,https://purl.stanford.edu/sp133mm9557
9940846,G3931 .D1 S100 .U5 MAP A15,36105216601182,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",tq572yh3345,https://purl.stanford.edu/tq572yh3345
9940846,G3931 .D1 S100 .U5 MAP A18,36105216601158,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",wc616py3020,https://purl.stanford.edu/wc616py3020
9940846,G3931 .D1 S100 .U5 MAP A16,36105216601174,"Florida ecological atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL) -- Northwestern Florida ecological characterization, an ecological atlas, map narratives",xd749ph3471,https://purl.stanford.edu/xd749ph3471
