Druid,Purl,Title,Ckey,Symph_Bar,Call_Num
cr875sy6247,https://purl.stanford.edu/cr875sy6247,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593702,G4032 .C6H1 S100 .U5 MAP D1
cy365qn4448,https://purl.stanford.edu/cy365qn4448,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593603,G4032 .C6H1 S100 .U5 MAP D11
cz440ym6639,https://purl.stanford.edu/cz440ym6639,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593652,G4032 .C6H1 S100 .U5 MAP D6
dm435nc7518,https://purl.stanford.edu/dm435nc7518,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216592969,G4032 .C6H1 S100 .U5 MAP D15
gb751vx5888,https://purl.stanford.edu/gb751vx5888,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216592985,G4032 .C6H1 S100 .U5 MAP D13
gn585yh6903,https://purl.stanford.edu/gn585yh6903,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216592993,G4032 .C6H1 S100 .U5 MAP D12
hg305nw6502,https://purl.stanford.edu/hg305nw6502,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593678,G4032 .C6H1 S100 .U5 MAP D4
js521qg0396,https://purl.stanford.edu/js521qg0396,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593686,G4032 .C6H1 S100 .U5 MAP D3
kz811fq7984,https://purl.stanford.edu/kz811fq7984,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593694,G4032 .C6H1 S100 .U5 MAP D2
nc408vk3886,https://purl.stanford.edu/nc408vk3886,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593637,G4032 .C6H1 S100 .U5 MAP D8
pq787jf7199,https://purl.stanford.edu/pq787jf7199,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216592951,G4032 .C6H1 S100 .U5 MAP D16
qm206zt1144,https://purl.stanford.edu/qm206zt1144,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593660,G4032 .C6H1 S100 .U5 MAP D5
rf003td3880,https://purl.stanford.edu/rf003td3880,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216592977,G4032 .C6H1 S100 .U5 MAP D14
wr692mq1141,https://purl.stanford.edu/wr692mq1141,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593629,G4032 .C6H1 S100 .U5 MAP D9
ww668dj5365,https://purl.stanford.edu/ww668dj5365,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593645,G4032 .C6H1 S100 .U5 MAP D7
yn757zc0963,https://purl.stanford.edu/yn757zc0963,Texas Barrier Islands Region ecological characterization atlas: mineral resources and selected oil and gas intrastructures -- Technical Report Archive and Imaging Library (TRAIL),9948170,36105216593611,G4032 .C6H1 S100 .U5 MAP D10
