CKEY,CALL NUMBER,Barcode,Druid,Purl,Title,Catkey,Barcode2
9948296,G3932 .T3D1 S24 .U5 MAP A8,36105216594627,ck674wg1499,https://purl.stanford.edu/ck674wg1499,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594627
9948296,G3932 .T3D1 S24 .U5 MAP A3,36105216594676,cp741ff6190,https://purl.stanford.edu/cp741ff6190,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594676
9948296,G3932 .T3D1 S24 .U5 MAP A17,36105216594536,ct107wv0870,https://purl.stanford.edu/ct107wv0870,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594536
9948296,G3932 .T3D1 S24 .U5 MAP A7,36105216594635,ct522sf2779,https://purl.stanford.edu/ct522sf2779,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594635
9948296,G3932 .T3D1 S24 .U5 MAP A13,36105216594577,cx031nk4534,https://purl.stanford.edu/cx031nk4534,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594577
9948296,G3932 .T3D1 S24 .U5 MAP A18,36105216594528,dc951zk7194,https://purl.stanford.edu/dc951zk7194,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594528
9948296,G3932 .T3D1 S24 .U5 MAP A11,36105216594593,fj033my8813,https://purl.stanford.edu/fj033my8813,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594593
9948296,G3932 .T3D1 S24 .U5 MAP A12,36105216594585,fw217np6300,https://purl.stanford.edu/fw217np6300,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594585
9948296,G3932 .T3D1 S24 .U5 MAP A15,36105216594551,ht457qd6396,https://purl.stanford.edu/ht457qd6396,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594551
9948296,G3932 .T3D1 S24 .U5 MAP A1,36105216594692,kp719pr6844,https://purl.stanford.edu/kp719pr6844,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594692
9948296,G3932 .T3D1 S24 .U5 MAP A16,36105216594544,kw606mj9909,https://purl.stanford.edu/kw606mj9909,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594544
9948296,G3932 .T3D1 S24 .U5 MAP A10,36105216594601,mg892pg0872,https://purl.stanford.edu/mg892pg0872,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594601
9948296,G3932 .T3D1 S24 .U5 MAP A4,36105216594668,mp210st5146,https://purl.stanford.edu/mp210st5146,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594668
9948296,G3932 .T3D1 S24 .U5 MAP A14,36105216594569,ns798dy7489,https://purl.stanford.edu/ns798dy7489,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594569
9948296,G3932 .T3D1 S24 .U5 MAP A9,36105216594619,qn501zc3992,https://purl.stanford.edu/qn501zc3992,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594619
9948296,G3932 .T3D1 S24 .U5 MAP A2,36105216594684,sh488qf1703,https://purl.stanford.edu/sh488qf1703,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594684
9948296,G3932 .T3D1 S24 .U5 MAP A6,36105216594643,sj644bt6701,https://purl.stanford.edu/sj644bt6701,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594643
9948296,G3932 .T3D1 S24 .U5 MAP A5,36105216594650,yd563cp0378,https://purl.stanford.edu/yd563cp0378,Tampa Bay environmental atlas: biological resources -- Technical Report Archive and Imaging Library (TRAIL),9948296,36105216594650
9948298,G3932 .T3C3 S24 .U5 MAP B9,36105216594437,dx029kc1419,https://purl.stanford.edu/dx029kc1419,Tampa Bay environmental atlas: water resources -- Technical Report Archive and Imaging Library (TRAIL),9948298,36105216594437
9948298,G3932 .T3C3 S24 .U5 MAP B8,36105216594445,jv760ng9769,https://purl.stanford.edu/jv760ng9769,Tampa Bay environmental atlas: water resources -- Technical Report Archive and Imaging Library (TRAIL),9948298,36105216594445
9948298,G3932 .T3C3 S24 .U5 MAP B11,36105216594411,mf312yz2381,https://purl.stanford.edu/mf312yz2381,Tampa Bay environmental atlas: water resources -- Technical Report Archive and Imaging Library (TRAIL),9948298,36105216594411
9948298,G3932 .T3C3 S24 .U5 MAP B13,36105216594395,pf101fw8885,https://purl.stanford.edu/pf101fw8885,Tampa Bay environmental atlas: water resources -- Technical Report Archive and Imaging Library (TRAIL),9948298,36105216594395
9948298,G3932 .T3C3 S24 .U5 MAP B5,36105216594478,pk757qs2472,https://purl.stanford.edu/pk757qs2472,Tampa Bay environmental atlas: water resources -- Technical Report Archive and Imaging Library (TRAIL),9948298,36105216594478
9948298,G3932 .T3C3 S24 .U5 MAP B1,36105216594510,pn801gz8202,https://purl.stanford.edu/pn801gz8202,Tampa Bay environmental atlas: water resources -- Technical Report Archive and Imaging Library (TRAIL),9948298,36105216594510
9948298,G3932 .T3C3 S24 .U5 MAP B14,36105216594387,qc144pc3594,https://purl.stanford.edu/qc144pc3594,Tampa Bay environmental atlas: water resources -- Technical Report Archive and Imaging Library (TRAIL),9948298,36105216594387
9948298,G3932 .T3C3 S24 .U5 MAP B16,36105216594361,rm851xh4993,https://purl.stanford.edu/rm851xh4993,Tampa Bay environmental atlas: water resources -- Technical Report Archive and Imaging Library (TRAIL),9948298,36105216594361
9948298,G3932 .T3C3 S24 .U5 MAP B17,36105216594353,rw459bw8461,https://purl.stanford.edu/rw459bw8461,Tampa Bay environmental atlas: water resources -- Technical Report Archive and Imaging Library (TRAIL),9948298,36105216594353
